"Region","School District","Year","Gender","Total"
72,"Campbell River",2007,"T",40352
73,"Kamloops/Thompson",2007,"T",108297
74,"Gold Trail",2007,"T",11434
75,"Mission",2007,"T",40791
78,"Fraser - Cascade",2007,"T",16674
79,"Cowichan Valley",2007,"T",67632
81,"Fort Nelson",2007,"T",6033
82,"Coast Mountains",2007,"T",35571
83,"Okanagan - Shuswap",2007,"T",52304
84,"Vancouver Island West",2007,"T",2481
85,"Vancouver Island North",2007,"T",11867
87,"Stikine",2007,"T",2104
91,"Nechako Lakes",2007,"T",23026
92,"Nisga'a",2007,"T",1940
5,"Southeast Kootenay",2008,"T",39608
6,"Rocky Mountain",2008,"T",24834
8,"Kootenay Lake",2008,"T",40502
10,"Arrow Lakes",2008,"T",4634
19,"Revelstoke",2008,"T",7783
20,"Kootenay-Columbia",2008,"T",32330
22,"Vernon",2008,"T",64214
23,"Central Okanagan",2008,"T",178233
27,"Cariboo - Chilcotin",2008,"T",40455
28,"Quesnel",2008,"T",23225
33,"Chilliwack",2008,"T",83296
34,"Abbotsford",2008,"T",133214
35,"Langley",2008,"T",127348
36,"Surrey",2008,"T",456516
37,"Delta",2008,"T",101244
38,"Richmond",2008,"T",188224
39,"Vancouver",2008,"T",619560
40,"New Westminster",2008,"T",63603
41,"Burnaby",2008,"T",218081
42,"Maple Ridge-Pitt Meadows",2008,"T",91797
43,"Coquitlam",2008,"T",212017
44,"North Vancouver",2008,"T",133315
45,"West Vancouver",2008,"T",50571
46,"Sunshine Coast",2008,"T",28462
47,"Powell River",2008,"T",19368
48,"Sea to Sky",2008,"T",32777
49,"Central Coast",2008,"T",3351
50,"Haida Qwaii/Queen Charlotte",2008,"T",4655
51,"Boundary",2008,"T",12430
52,"Prince Rupert",2008,"T",14655
53,"Okanagan Similkameen",2008,"T",24185
54,"Bulkley Valley",2008,"T",15182
57,"Prince George",2008,"T",93663
58,"Nicola - Similkameen",2008,"T",15987
59,"Peace River South",2008,"T",26102
60,"Peace River North",2008,"T",33675
61,"Greater Victoria",2008,"T",218525
62,"Sooke",2008,"T",64756
63,"Saanich",2008,"T",62413
64,"Gulf Islands",2008,"T",14967
67,"Okanagan Skaha",2008,"T",52983
68,"Nanaimo-Ladysmith",2008,"T",111737
69,"Qualicum",2008,"T",44584
70,"Alberni",2008,"T",31225
71,"Comox Valley",2008,"T",62896
72,"Campbell River",2008,"T",40842
73,"Kamloops/Thompson",2008,"T",110631
74,"Gold Trail",2008,"T",11537
75,"Mission",2008,"T",41233
